Booster_ID,Launch_Date,Booster_Base,Flight_Count,Days_Between_Flights
B0003?,2010-06-04,B0003,1,
B0004?,2010-12-08,B0004,1,
B0005?,2012-05-22,B0005,1,
B0006?,2012-10-08,B0006,1,
B0007?,2013-03-01,B0007,1,
B1003?,2013-09-29,B1003,1,
B1010?,2014-09-21,B1010,1,
B1011?,2014-09-07,B1011,1,
B1012?,2015-01-10,B1012,1,
B1013?,2015-02-11,B1013,1,
B1014?,2015-03-02,B1014,1,
B1015?,2015-04-14,B1015,1,
B1016?,2015-04-27,B1016,1,
B1017?,2016-01-17,B1017,1,
B1018?,2015-06-28,B1018,1,
B1019,2015-12-22,B1019,1,
B1020?,2016-03-04,B1020,1,
B1021,2016-04-08,B1021,1,
B1021.2,2017-03-30,B1021,2,356.0
B1022?,2016-05-06,B1022,1,
B1023,2016-05-27,B1023,1,
B1024?,2016-06-15,B1024,1,
B1025,2016-07-18,B1025,1,
B1026?,2016-08-14,B1026,1,
B1028?,2016-09-01,B1028,1,
B1029,2017-01-14,B1029,1,
B1029.2,2017-06-23,B1029,2,160.0
B1030,2017-03-16,B1030,1,
B1031,2017-02-19,B1031,1,
B1031.2,2017-10-11,B1031,2,234.0
B1032,2017-05-01,B1032,1,
B1032.2,2018-01-31,B1032,2,275.0
B1034,2017-05-15,B1034,1,
B1035,2017-06-03,B1035,1,
B1035.2,2017-12-15,B1035,2,195.0
B1036,2017-06-25,B1036,1,
B1036.2,2017-12-23,B1036,2,181.0
B1037,2017-07-05,B1037,1,
B1038,2017-08-24,B1038,1,
B1038.2,2018-02-22,B1038,2,182.0
B1039,2017-08-14,B1039,1,
B1039.2,2018-04-02,B1039,2,231.0
B1040,2017-09-07,B1040,1,
B1040.2,2018-06-04,B1040,2,270.0
B1041,2017-10-09,B1041,1,
B1041.2,2018-03-30,B1041,2,172.0
B1042,2017-10-30,B1042,1,
B1043,2018-01-08,B1043,1,
B1043.2,2018-05-22,B1043,2,134.0
B1044,2018-03-06,B1044,1,
B1045,2018-04-18,B1045,1,
B1045.2,2018-06-29,B1045,2,72.0
B1046,2018-05-11,B1046,1,
B1046.2,2018-08-07,B1046,2,88.0
B1046.3,2018-12-03,B1046,3,118.0
B1047,2018-07-22,B1047,1,
B1047.2,2018-11-15,B1047,2,116.0
B1047.3,2019-08-06,B1047,3,264.0
B1048,2018-07-25,B1048,1,
B1048.2,2018-10-08,B1048,2,75.0
B1048.3,2019-02-22,B1048,3,137.0
B1048.4,2019-11-11,B1048,4,262.0
B1048.5,2020-03-18,B1048,5,128.0
B1049,2018-09-10,B1049,1,
B1049.2,2019-01-11,B1049,2,123.0
B1049.3,2019-05-24,B1049,3,133.0
B1049.4,2020-01-07,B1049,4,228.0
B1049.5,2020-06-04,B1049,5,149.0
B1049.6,2020-08-18,B1049,6,75.0
B1049.7,2020-11-25,B1049,7,99.0
B1049.8,2021-03-04,B1049,8,99.0
B1049.9,2021-05-04,B1049,9,61.0
B1049.10,2021-09-14,B1049,10,133.0
B1049.11,2022-11-23,B1049,11,435.0
B1050,2018-12-05,B1050,1,
B1051,2019-03-02,B1051,1,
B1051.2,2019-06-12,B1051,2,102.0
B1051.3,2020-01-29,B1051,3,231.0
B1051.4,2020-04-22,B1051,4,84.0
B1051.5,2020-08-07,B1051,5,107.0
B1051.6,2020-10-18,B1051,6,72.0
B1051.7,2020-12-13,B1051,7,56.0
B1051.8,2021-01-20,B1051,8,38.0
B1051.9,2021-03-14,B1051,9,53.0
B1051.10,2021-05-09,B1051,10,56.0
B1051.11,2021-12-18,B1051,11,223.0
B1051.12,2022-03-19,B1051,12,91.0
B1051.13,2022-07-17,B1051,13,120.0
B1051.14,2022-11-12,B1051,14,118.0
B1052.3,2022-01-31,B1052,3,
B1052.4,2022-03-09,B1052,4,37.0
B1052.5,2022-05-18,B1052,5,70.0
B1052.6,2022-08-04,B1052,6,78.0
B1052.7,2022-09-05,B1052,7,32.0
B1054,2018-12-23,B1054,1,
B1056.1,2019-05-04,B1056,1,
B1056.2,2019-07-25,B1056,2,82.0
B1056.3,2019-12-17,B1056,3,145.0
B1056.4,2020-02-17,B1056,4,62.0
B1058.1,2020-05-30,B1058,1,
B1058.2,2020-07-20,B1058,2,51.0
B1058.3,2020-10-06,B1058,3,78.0
B1058.4,2020-12-06,B1058,4,61.0
B1058.5,2021-01-24,B1058,5,49.0
B1058.6,2021-03-11,B1058,6,46.0
B1058.7,2021-04-07,B1058,7,27.0
B1058.8,2021-05-15,B1058,8,38.0
B1058.9,2021-11-13,B1058,9,182.0
B1058.10,2022-01-13,B1058,10,61.0
B1058.11,2022-02-21,B1058,11,39.0
B1058.12,2022-05-06,B1058,12,74.0
B1058.13,2022-07-07,B1058,13,62.0
B1058.14,2022-09-11,B1058,14,66.0
B1058.15,2022-12-17,B1058,15,97.0
B1058.16,2023-07-10,B1058,16,205.0
B1058.17,2023-09-20,B1058,17,72.0
B1058.18,2023-11-04,B1058,18,45.0
B1058.19,2023-12-23,B1058,19,49.0
B1059,2019-12-05,B1059,1,
B1059.2,2020-03-07,B1059,2,93.0
B1059.3,2020-06-13,B1059,3,98.0
B1059.4,2020-08-30,B1059,4,78.0
B1059.5,2020-12-19,B1059,5,111.0
B1059.6,2021-02-16,B1059,6,59.0
B1060.1,2020-06-30,B1060,1,
B1060.2,2020-09-03,B1060,2,65.0
B1060.3,2020-10-24,B1060,3,51.0
B1060.4,2021-01-08,B1060,4,76.0
B1060.5,2021-02-04,B1060,5,27.0
B1060.6,2021-03-24,B1060,6,48.0
B1060.7,2021-04-29,B1060,7,36.0
B1060.8,2021-06-30,B1060,8,62.0
B1060.9,2021-12-02,B1060,9,155.0
B1060.10,2022-01-19,B1060,10,48.0
B1060.11,2022-03-03,B1060,11,43.0
B1060.12,2022-04-21,B1060,12,49.0
B1060.13,2022-06-17,B1060,13,57.0
B1060.14,2022-10-08,B1060,14,113.0
B1060.15,2023-01-03,B1060,15,87.0
B1060.16,2023-07-16,B1060,16,194.0
B1060.17,2023-09-24,B1060,17,70.0
B1060.18,2024-02-15,B1060,18,144.0
B1060.19,2024-03-24,B1060,19,38.0
B1060.20,2024-04-28,B1060,20,35.0
B1061.1,2020-11-16,B1061,1,
B1061.2,2021-04-23,B1061,2,158.0
B1061.3,2021-06-06,B1061,3,44.0
B1061.4,2021-08-29,B1061,4,84.0
B1061.5,2021-12-09,B1061,5,102.0
B1061.6,2022-02-03,B1061,6,56.0
B1061.7,2022-04-01,B1061,7,57.0
B1061.8,2022-05-25,B1061,8,54.0
B1061.9,2022-06-19,B1061,9,25.0
B1061.10,2022-08-12,B1061,10,54.0
B1061.11,2022-12-30,B1061,11,140.0
B1061.12,2023-03-03,B1061,12,63.0
B1061.13,2023-04-27,B1061,13,55.0
B1061.14,2023-05-31,B1061,14,34.0
B1061.15,2023-08-22,B1061,15,83.0
B1061.16,2023-10-21,B1061,16,60.0
B1061.17,2023-12-01,B1061,17,41.0
B1061.18,2024-01-14,B1061,18,44.0
B1061.19,2024-02-23,B1061,19,40.0
B1061.20,2024-05-02,B1061,20,69.0
B1061.21,2024-06-08,B1061,21,37.0
B1061.22,2024-08-12,B1061,22,65.0
B1061.23,2024-10-07,B1061,23,56.0
B1062.1,2020-11-05,B1062,1,
B1062.2,2021-06-17,B1062,2,224.0
B1062.3,2021-09-16,B1062,3,91.0
B1062.4,2022-01-06,B1062,4,112.0
B1062.5,2022-04-08,B1062,5,92.0
B1062.6,2022-04-29,B1062,6,21.0
B1062.7,2022-06-08,B1062,7,40.0
B1062.8,2022-07-24,B1062,8,46.0
B1062.9,2022-08-19,B1062,9,26.0
B1062.10,2022-10-20,B1062,10,62.0
B1062.11,2022-12-28,B1062,11,69.0
B1062.12,2023-02-12,B1062,12,46.0
B1062.13,2023-03-09,B1062,13,25.0
B1062.14,2023-05-27,B1062,14,79.0
B1062.15,2023-07-28,B1062,15,62.0
B1062.16,2023-10-18,B1062,16,82.0
B1062.17,2023-11-28,B1062,17,41.0
B1062.18,2024-01-29,B1062,18,62.0
B1062.19,2024-03-16,B1062,19,47.0
B1062.20,2024-04-13,B1062,20,28.0
B1062.21,2024-05-18,B1062,21,35.0
B1062.22,2024-06-27,B1062,22,40.0
B1062.23,2024-08-28,B1062,23,62.0
B1063.1,2020-11-21,B1063,1,
B1063.2,2021-05-26,B1063,2,186.0
B1063.3,2021-11-24,B1063,3,182.0
B1063.4,2022-02-25,B1063,4,93.0
B1063.5,2022-05-13,B1063,5,77.0
B1063.6,2022-07-11,B1063,6,59.0
B1063.7,2022-08-31,B1063,7,51.0
B1063.8,2022-10-28,B1063,8,58.0
B1063.9,2023-02-17,B1063,9,112.0
B1063.10,2023-04-15,B1063,10,57.0
B1063.11,2023-05-20,B1063,11,35.0
B1063.12,2023-07-07,B1063,12,48.0
B1063.13,2023-09-02,B1063,13,57.0
B1063.14,2023-10-09,B1063,14,37.0
B1063.15,2023-11-20,B1063,15,42.0
B1063.16,2024-01-24,B1063,16,65.0
B1063.17,2024-03-11,B1063,17,47.0
B1063.18,2024-05-14,B1063,18,64.0
B1063.19,2024-07-12,B1063,19,59.0
B1063.20,2024-09-06,B1063,20,56.0
B1063.21,2024-10-24,B1063,21,48.0
B1063.22,2024-12-17,B1063,22,54.0
B1063.23,2025-01-24,B1063,23,38.0
B1063.24,2025-03-26,B1063,24,61.0
B1063.25,2025-04-28,B1063,25,33.0
B1063.26,2025-06-04,B1063,26,37.0
B1063.27,2025-08-26,B1063,27,83.0
B1063.28,2025-09-29,B1063,28,34.0
B1063.29,2025-10-31,B1063,29,32.0
B1067.1,2021-06-03,B1067,1,
B1067.2,2021-11-11,B1067,2,161.0
B1067.3,2021-12-19,B1067,3,38.0
B1067.4,2022-04-27,B1067,4,129.0
B1067.5,2022-07-15,B1067,5,79.0
B1067.6,2022-09-19,B1067,6,66.0
B1067.7,2022-11-03,B1067,7,45.0
B1067.8,2022-12-16,B1067,8,43.0
B1067.9,2023-01-26,B1067,9,41.0
B1067.10,2023-03-24,B1067,10,57.0
B1067.11,2023-05-14,B1067,11,51.0
B1067.12,2023-06-18,B1067,12,35.0
B1067.13,2023-08-17,B1067,13,60.0
B1067.14,2023-10-13,B1067,14,57.0
B1067.15,2023-11-22,B1067,15,40.0
B1067.16,2024-01-07,B1067,16,46.0
B1067.17,2024-02-20,B1067,17,44.0
B1067.18,2024-03-31,B1067,18,40.0
B1067.19,2024-05-03,B1067,19,33.0
B1067.20,2024-06-05,B1067,20,33.0
B1067.21,2024-08-10,B1067,21,66.0
B1067.22,2024-09-17,B1067,22,38.0
B1067.23,2024-11-11,B1067,23,55.0
B1067.24,2024-12-04,B1067,24,23.0
B1067.25,2025-01-10,B1067,25,37.0
B1067.26,2025-02-15,B1067,26,36.0
B1067.27,2025-04-14,B1067,27,58.0
B1067.28,2025-05-13,B1067,28,29.0
B1067.29,2025-07-02,B1067,29,50.0
B1067.30,2025-08-28,B1067,30,57.0
B1067.31,2025-10-19,B1067,31,52.0
B1069.1,2021-12-21,B1069,1,
B1069.2,2022-08-28,B1069,2,250.0
B1069.3,2022-10-15,B1069,3,48.0
B1069.4,2022-12-08,B1069,4,54.0
B1069.5,2023-02-02,B1069,5,56.0
B1069.6,2023-03-17,B1069,6,43.0
B1069.7,2023-05-04,B1069,7,48.0
B1069.8,2023-06-23,B1069,8,50.0
B1069.9,2023-08-11,B1069,9,49.0
B1069.10,2023-09-30,B1069,10,50.0
B1069.11,2023-11-18,B1069,11,49.0
B1069.12,2023-12-29,B1069,12,41.0
B1069.13,2024-02-25,B1069,13,58.0
B1069.14,2024-04-05,B1069,14,40.0
B1069.15,2024-05-06,B1069,15,31.0
B1069.16,2024-06-08,B1069,16,33.0
B1069.17,2024-07-27,B1069,17,49.0
B1069.18,2024-08-31,B1069,18,35.0
B1069.19,2024-10-26,B1069,19,56.0
B1069.20,2024-11-21,B1069,20,26.0
B1069.21,2025-02-04,B1069,21,75.0
B1069.22,2025-03-13,B1069,22,37.0
B1069.23,2025-04-25,B1069,23,43.0
B1069.24,2025-05-24,B1069,24,29.0
B1069.25,2025-06-23,B1069,25,30.0
B1069.26,2025-07-30,B1069,26,37.0
B1069.27,2025-09-05,B1069,27,37.0
B1069.28,2025-11-09,B1069,28,65.0
B1071.1,2022-02-02,B1071,1,
B1071.2,2022-04-17,B1071,2,74.0
B1071.3,2022-06-18,B1071,3,62.0
B1071.4,2022-07-22,B1071,4,34.0
B1071.5,2022-10-05,B1071,5,75.0
B1071.6,2022-12-16,B1071,6,72.0
B1071.7,2023-01-31,B1071,7,46.0
B1071.8,2023-03-17,B1071,8,45.0
B1071.9,2023-06-12,B1071,9,87.0
B1071.10,2023-07-20,B1071,10,38.0
B1071.11,2023-09-12,B1071,11,54.0
B1071.12,2023-11-11,B1071,12,60.0
B1071.13,2023-12-08,B1071,13,27.0
B1071.14,2024-02-10,B1071,14,64.0
B1071.15,2024-04-02,B1071,15,52.0
B1071.16,2024-05-22,B1071,16,50.0
B1071.17,2024-07-28,B1071,17,67.0
B1071.18,2024-09-13,B1071,18,47.0
B1071.19,2024-10-15,B1071,19,32.0
B1071.20,2024-11-18,B1071,20,34.0
B1071.21,2024-12-21,B1071,21,33.0
B1071.22,2025-01-10,B1071,22,20.0
B1071.23,2025-02-11,B1071,23,32.0
B1071.24,2025-04-12,B1071,24,60.0
B1071.25,2025-05-31,B1071,25,49.0
B1071.26,2025-06-23,B1071,26,23.0
B1071.27,2025-07-31,B1071,27,38.0
B1071.28,2025-09-13,B1071,28,44.0
B1071.29,2025-10-08,B1071,29,25.0
B1071.30,2025-11-28,B1071,30,51.0
B1073.1,2022-05-14,B1073,1,
B1073.2,2022-06-29,B1073,2,46.0
B1073.3,2022-08-10,B1073,3,42.0
B1073.4,2022-09-24,B1073,4,45.0
B1073.5,2022-12-11,B1073,5,78.0
B1073.6,2023-02-07,B1073,6,58.0
B1073.7,2023-03-15,B1073,7,36.0
B1073.8,2023-04-19,B1073,8,35.0
B1073.9,2023-06-12,B1073,9,54.0
B1073.10,2023-09-04,B1073,10,84.0
B1073.11,2023-11-08,B1073,11,65.0
B1073.12,2024-01-15,B1073,12,68.0
B1073.13,2024-03-04,B1073,13,49.0
B1073.14,2024-04-07,B1073,14,34.0
B1073.15,2024-05-13,B1073,15,36.0
B1073.16,2024-07-03,B1073,16,51.0
B1073.17,2024-08-12,B1073,17,40.0
B1073.18,2024-10-23,B1073,18,72.0
B1073.19,2024-11-18,B1073,19,26.0
B1073.20,2025-01-04,B1073,20,47.0
B1073.21,2025-01-30,B1073,21,26.0
B1075.1,2023-01-19,B1075,1,
B1075.2,2023-04-02,B1075,2,73.0
B1075.3,2023-05-10,B1075,3,38.0
B1075.4,2023-06-22,B1075,4,43.0
B1075.5,2023-08-08,B1075,5,47.0
B1075.6,2023-09-25,B1075,6,48.0
B1075.7,2023-10-29,B1075,7,34.0
B1075.8,2023-12-24,B1075,8,56.0
B1075.9,2024-01-29,B1075,9,36.0
B1075.10,2024-03-19,B1075,10,50.0
B1075.11,2024-06-24,B1075,11,97.0
B1075.12,2024-08-16,B1075,12,53.0
B1075.13,2024-09-20,B1075,13,35.0
B1075.14,2024-10-30,B1075,14,40.0
B1075.15,2024-11-24,B1075,15,25.0
B1075.16,2024-12-29,B1075,16,35.0
B1075.17,2025-02-01,B1075,17,34.0
B1075.18,2025-05-23,B1075,18,111.0
B1075.19,2025-07-27,B1075,19,65.0
B1075.20,2025-09-06,B1075,20,41.0
B1075.21,2025-10-22,B1075,21,46.0
B1076.1,2022-11-26,B1076,1,
B1076.2,2023-01-10,B1076,2,45.0
B1076.3,2023-02-27,B1076,3,48.0
B1076.4,2023-04-07,B1076,4,39.0
B1076.5,2023-05-19,B1076,5,42.0
B1076.6,2023-07-24,B1076,6,66.0
B1076.7,2023-09-09,B1076,7,47.0
B1076.8,2023-10-05,B1076,8,26.0
B1076.9,2023-11-12,B1076,9,38.0
B1076.10,2024-01-03,B1076,10,52.0
B1076.11,2024-02-29,B1076,11,57.0
B1076.12,2024-03-30,B1076,12,30.0
B1076.13,2024-04-28,B1076,13,29.0
B1076.14,2024-06-01,B1076,14,34.0
B1076.15,2024-07-08,B1076,15,37.0
B1076.16,2024-08-15,B1076,16,38.0
B1076.17,2024-10-18,B1076,17,64.0
B1076.18,2024-11-14,B1076,18,27.0
B1076.19,2024-12-05,B1076,19,21.0
B1076.20,2025-01-27,B1076,20,53.0
B1076.21,2025-02-21,B1076,21,25.0
B1076.22,2025-10-24,B1076,22,245.0
B1077.1,2022-10-05,B1077,1,
B1077.2,2023-01-18,B1077,2,105.0
B1077.3,2023-02-18,B1077,3,31.0
B1077.4,2023-03-29,B1077,4,39.0
B1077.5,2023-06-05,B1077,5,68.0
B1077.6,2023-08-03,B1077,6,59.0
B1077.7,2023-09-01,B1077,7,29.0
B1077.8,2023-10-30,B1077,8,59.0
B1077.9,2023-12-07,B1077,9,38.0
B1077.10,2024-01-30,B1077,10,54.0
B1077.11,2024-03-10,B1077,11,40.0
B1077.12,2024-04-17,B1077,12,38.0
B1077.13,2024-05-24,B1077,13,37.0
B1077.14,2024-07-28,B1077,14,65.0
B1077.15,2024-09-05,B1077,15,39.0
B1077.16,2024-11-17,B1077,16,73.0
B1077.17,2025-01-06,B1077,17,50.0
B1077.18,2025-02-11,B1077,18,36.0
B1077.19,2025-03-18,B1077,19,35.0
B1077.20,2025-04-28,B1077,20,41.0
B1077.21,2025-06-03,B1077,21,36.0
B1077.22,2025-07-08,B1077,22,35.0
B1077.23,2025-08-31,B1077,23,54.0
B1077.24,2025-10-26,B1077,24,56.0
B1078.1,2023-03-02,B1078,1,
B1078.2,2023-04-28,B1078,2,57.0
B1078.3,2023-06-04,B1078,3,37.0
B1078.4,2023-08-07,B1078,4,64.0
B1078.5,2023-09-16,B1078,5,40.0
B1078.6,2023-12-03,B1078,6,78.0
B1078.7,2024-02-14,B1078,7,73.0
B1078.8,2024-03-25,B1078,8,40.0
B1078.9,2024-04-23,B1078,9,29.0
B1078.10,2024-05-28,B1078,10,35.0
B1078.11,2024-06-23,B1078,11,26.0
B1078.12,2024-08-02,B1078,12,40.0
B1078.13,2024-09-12,B1078,13,41.0
B1078.14,2024-10-30,B1078,14,48.0
B1078.15,2024-11-27,B1078,15,28.0
B1078.16,2024-12-31,B1078,16,34.0
B1078.17,2025-02-08,B1078,17,39.0
B1078.18,2025-03-15,B1078,18,35.0
B1078.19,2025-04-06,B1078,19,22.0
B1078.20,2025-05-04,B1078,20,28.0
B1078.21,2025-06-13,B1078,21,40.0
B1078.22,2025-07-26,B1078,22,43.0
B1078.23,2025-09-12,B1078,23,48.0
B1078.24,2025-11-15,B1078,24,64.0
B1080.1,2023-05-21,B1080,1,
B1080.2,2023-07-01,B1080,2,41.0
B1080.3,2023-08-27,B1080,3,57.0
B1080.4,2023-10-22,B1080,4,56.0
B1080.5,2024-01-18,B1080,5,88.0
B1080.6,2024-03-21,B1080,6,63.0
B1080.7,2024-04-18,B1080,7,28.0
B1080.8,2024-05-23,B1080,8,35.0
B1080.9,2024-06-20,B1080,9,28.0
B1080.10,2024-08-04,B1080,10,45.0
B1080.11,2024-10-15,B1080,11,72.0
B1080.12,2024-11-11,B1080,12,27.0
B1080.13,2024-11-25,B1080,13,14.0
B1080.14,2024-12-23,B1080,14,28.0
B1080.15,2025-01-13,B1080,15,21.0
B1080.16,2025-02-18,B1080,16,36.0
B1080.17,2025-03-31,B1080,17,41.0
B1080.18,2025-05-02,B1080,18,32.0
B1080.19,2025-05-28,B1080,19,26.0
B1080.20,2025-06-25,B1080,20,28.0
B1080.21,2025-08-04,B1080,21,40.0
B1080.22,2025-09-25,B1080,22,52.0
B1080.23,2025-11-21,B1080,23,57.0
B1081.1,2023-08-26,B1081,1,
B1081.2,2023-11-10,B1081,2,76.0
B1081.3,2023-12-19,B1081,3,39.0
B1081.4,2024-02-08,B1081,4,51.0
B1081.5,2024-03-04,B1081,5,25.0
B1081.6,2024-04-07,B1081,6,34.0
B1081.7,2024-05-28,B1081,7,51.0
B1081.8,2024-06-29,B1081,8,32.0
B1081.9,2024-08-31,B1081,9,63.0
B1081.10,2024-09-25,B1081,10,25.0
B1081.11,2024-11-09,B1081,11,45.0
B1081.12,2024-12-05,B1081,12,26.0
B1081.13,2025-03-15,B1081,13,100.0
B1081.14,2025-05-10,B1081,14,56.0
B1081.15,2025-06-13,B1081,15,34.0
B1081.16,2025-07-23,B1081,16,40.0
B1081.17,2025-08-22,B1081,17,30.0
B1081.18,2025-09-22,B1081,18,31.0
B1081.19,2025-10-25,B1081,19,33.0
B1082.1,2024-01-03,B1082,1,
B1082.2,2024-02-15,B1082,2,43.0
B1082.3,2024-04-11,B1082,3,56.0
B1082.4,2024-05-10,B1082,4,29.0
B1082.5,2024-06-19,B1082,5,40.0
B1082.6,2024-08-04,B1082,6,46.0
B1082.7,2024-10-20,B1082,7,77.0
B1082.8,2024-11-14,B1082,8,25.0
B1082.9,2024-12-13,B1082,9,29.0
B1082.10,2025-01-21,B1082,10,39.0
B1082.11,2025-02-23,B1082,11,33.0
B1082.12,2025-04-20,B1082,12,56.0
B1082.13,2025-05-27,B1082,13,37.0
B1082.14,2025-07-19,B1082,14,53.0
B1082.15,2025-08-30,B1082,15,42.0
B1082.16,2025-09-26,B1082,16,27.0
B1082.17,2025-10-28,B1082,17,32.0
B1083.1,2024-03-04,B1083,1,
B1083.2,2024-04-10,B1083,2,37.0
B1083.3,2024-05-08,B1083,3,28.0
B1083.4,2024-09-10,B1083,4,125.0
B1083.5,2024-11-05,B1083,5,56.0
B1083.6,2024-11-30,B1083,6,25.0
B1083.7,2024-12-29,B1083,7,29.0
B1083.8,2025-01-21,B1083,8,23.0
B1083.9,2025-02-27,B1083,9,37.0
B1083.10,2025-04-13,B1083,10,45.0
B1083.11,2025-05-10,B1083,11,27.0
B1083.12,2025-06-10,B1083,12,31.0
B1083.13,2025-07-13,B1083,13,33.0
B1083.14,2025-09-03,B1083,14,52.0
B1083.15,2025-10-29,B1083,15,56.0
B1085.1,2024-08-20,B1085,1,
B1085.2,2024-09-28,B1085,2,39.0
B1085.3,2024-11-07,B1085,3,40.0
B1085.4,2024-12-17,B1085,4,40.0
B1085.5,2025-01-15,B1085,5,29.0
B1085.6,2025-04-01,B1085,6,76.0
B1085.7,2025-05-07,B1085,7,36.0
B1085.8,2025-06-07,B1085,8,31.0
B1085.9,2025-07-01,B1085,9,24.0
B1085.10,2025-08-14,B1085,10,44.0
B1085.11,2025-09-21,B1085,11,38.0
B1085.12,2025-11-19,B1085,12,59.0
B1086.2,2024-12-08,B1086,2,
B1086.3,2025-01-08,B1086,3,31.0
B1086.4,2025-02-04,B1086,4,27.0
B1086.5,2025-03-03,B1086,5,27.0
B1088.1,2024-11-30,B1088,1,
B1088.2,2025-01-14,B1088,2,45.0
B1088.3,2025-03-12,B1088,3,57.0
B1088.4,2025-03-21,B1088,4,9.0
B1088.5,2025-04-04,B1088,5,14.0
B1088.6,2025-05-13,B1088,6,39.0
B1088.7,2025-06-08,B1088,7,26.0
B1088.8,2025-06-28,B1088,8,20.0
B1088.9,2025-08-18,B1088,9,51.0
B1088.10,2025-09-19,B1088,10,32.0
B1088.11,2025-10-19,B1088,11,30.0
B1090.1,2024-12-17,B1090,1,
B1090.2,2025-03-14,B1090,2,87.0
B1090.3,2025-04-22,B1090,3,39.0
B1090.4,2025-05-14,B1090,4,22.0
B1090.5,2025-06-18,B1090,5,35.0
B1090.6,2025-07-22,B1090,6,34.0
B1090.7,2025-08-24,B1090,7,33.0
B1090.8,2025-10-07,B1090,8,44.0
B1090.9,2025-11-22,B1090,9,46.0
B1091.1,2025-08-11,B1091,1,
B1091.2,2025-10-14,B1091,2,64.0
B1091.3,2025-11-02,B1091,3,19.0
B1092.1?,2025-02-27,B1092,1,
B1092.2,2025-03-24,B1092,2,25.0
B1092.3,2025-04-21,B1092,3,28.0
B1092.4,2025-05-30,B1092,4,39.0
B1092.5,2025-06-28,B1092,5,29.0
B1092.6,2025-08-22,B1092,6,55.0
B1092.7,2025-09-18,B1092,7,27.0
B1092.8,2025-11-15,B1092,8,58.0
B1093.1,2025-04-07,B1093,1,
B1093.2,2025-05-16,B1093,2,39.0
B1093.3,2025-06-17,B1093,3,32.0
B1093.4,2025-07-16,B1093,4,29.0
B1093.5,2025-08-14,B1093,5,29.0
B1093.6,2025-09-10,B1093,6,27.0
B1093.7,2025-10-15,B1093,7,35.0
B1093.8,2025-11-06,B1093,8,22.0
B1094.1,2025-04-29,B1094,1,
B1094.2,2025-06-25,B1094,2,57.0
B1094.3,2025-08-01,B1094,3,37.0
B1094.4,2025-09-14,B1094,4,44.0
B1094.5,2025-11-06,B1094,5,53.0
B1095.1,2025-05-21,B1095,1,
B1095.2,2025-08-27,B1095,2,98.0
B1095.3,2025-10-16,B1095,3,50.0
B1096.1,2025-07-16,B1096,1,
B1096.2,2025-09-24,B1096,2,70.0
B1096.3,2025-11-11,B1096,3,48.0
B1097.1,2025-09-03,B1097,1,
B1097.2,2025-10-03,B1097,2,30.0
B1097.3,2025-11-17,B1097,3,45.0
B1100.1,2025-11-23,B1100,1,
