Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type,Launch_Year
1972-058,2441522.25,1972-07-23,Delta 0900,-,574/D089,ERTS 1,ERTS A,-,-,V,SLC2W,-,-,917.0, ,    -, ,-,0.891,GSFC,OS,-,G,Sat SSO O,MOR E-641-72-01,-,-,SSO,Thor,Delta 1,US,United States,Vandenberg,,891.0,1972-08-23,902.0,99.11,LEO/S,Observation,C,Government,1972
1972-073,2441583.56,1972-09-23,Delta 1604,-,579/D090,Explorer 47,IMP H,-,-,CC,LC17B,-,-,235600.0, ,    -, ,-,0.39,GSFC,OS,-,G,Sat DSO OO 1,TR-1022,-,-,BEO,Thor,Delta 1,US,United States,Canaveral,,266.0,1972-09-25,201100.0,17.2,DSO,Science,C,Government,1972
1972-082,2441606.22,1972-10-15,Delta 0300,-,575/D091,NOAA 2,ITOS D,-,-,V,SLC2W,-,-,1456.0, ,    -, ,-,0.327,GSFC,OS,-,G,Sat SSO L,TR-1022,-,-,SSO,Thor,Delta 1,US,United States,Vandenberg,,327.0,1972-11-15,1450.0,101.77,LEO/S,Observation,C,Government,1972
1972-090,2441631.55,1972-11-10,Delta 1914,-,580/D092,Anik A1,Anik A1,-,-,CC,LC17B,-,-,35798.0, ,    -, ,-,1.08,GSFC,OS,-,G/C,Sat GTO BO,TR-1022,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,250.0,1977-01-28,35775.0,0.28,GEO/S,Communications,B,Government,1972
1972-097,2441662.83,1972-12-11,Delta 0900,-,577/D093,Nimbus 5,Nimbus E,-,-,V,SLC2W,-,-,1105.0, ,    -, ,-,0.715,GSFC,OS,-,G,Sat SSO O,TR-1022,-,-,SSO,Thor,Delta 1,US,United States,Vandenberg,,715.0,1973-01-10,1091.0,99.95,LEO/S,Observation,C,Government,1972
1973-023,2441793.49,1973-04-20,Delta 1914,-,583/D094,Anik A2,Anik A2,-,-,CC,LC17B,-,-,35792.0, ,    -, ,-,0.544,GSFC,OS,-,G/C,Sat GTO BO,TR-1022,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,254.0,1977-01-25,35780.0,0.03,GEO/S,Communications,B,Government,1973
1973-039,2441844.09,1973-06-10,Delta 1913,-,581/D095,Explorer 49,RAE B,-,-,CC,LC17B,-,-,390244.0, ,    -, ,-,0.462,GSFC,DS,-,G,Sat DSO OO,TR-1022,-,-,BEO,Thor,Delta 1,US,United States,Canaveral,,200.0,1973-06-10,182.0,29.1,CLO,Observation,C,Government,1973
1973-F06,2441880.22,1973-07-16,Delta 0300,-,578/D096,ITOS E,ITOS E,-,-,V,SLC2W,-,-,,?,    -, ,-,0.34,GSFC,OF,S2G,G,Sat SSO O,TR-1022,-,"Hydraulics failed, tumbled",SSO,Thor,Delta 1,US,United States,Vandenberg,,,,,,,,,Government,1973
1973-078,2441981.6,1973-10-26,Delta 1604,-,582/D097,Explorer 50,IMP J,-,-,CC,LC17B,-,-,215092.0, ,    -, ,-,0.398,GSFC,OS,-,G,Sat DSO OO 2,TR-1022,-,-,BEO,Thor,Delta 1,US,United States,Canaveral,,273.0,1975-07-25,215092.0,19.7,DSO,Science,C,Government,1973
1973-086,2441993.21,1973-11-06,Delta 0300,-,576/D098,NOAA 3,ITOS F,-,-,V,SLC2W,-,-,1512.0, ,    -, ,-,0.34,GSFC,OS,-,G,Sat SSO O,TR-1022,-,-,SSO,Thor,Delta 1,US,United States,Vandenberg,,340.0,1973-12-06,1501.0,102.07,LEO/S,Observation,C,Government,1973
1973-101,2442032.76,1973-12-16,Delta 1900,-,585/D099,Explorer 51,AE-C,-,-,V,SLC2W,-,-,4074.0, ,    -, ,-,0.668,GSFC,OS,-,G,Sat MEO O,TR-1022,-,-,MEO,Thor,Delta 1,US,United States,Vandenberg,,668.0,1974-01-29,152.0,68.07,MEO,EOSCI,C,Government,1973
1974-002,2442066.57,1974-01-19,Delta 2313,-,587/D100,Skynet 2A,Skynet IIA,-,-,CC,LC17B,-,-,2662.0, ,    -, ,-,0.435,GSFC,OF40,S2G2*,G/OG,Sat GTO OO 2,TR-1022,-,"S2 underburn, tumbling",GTO,Thor,Delta 1,US,United States,Canaveral,,217.0,1974-01-21,124.0,37.65,LEO/I,Communications,D,Military,1974
1974-022,2442151.48,1974-04-13,Delta 2914,C,588/D101,Westar 1,Westar 1,-,-,CC,LC17B,-,-,35808.0, ,    -, ,-,0.574,GSFC,OS,-,G/C,Sat GTO OO,TR-1022,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,284.0,1977-01-20,35764.0,0.02,GEO/S,Communications,B,Government,1974
1974-033,2442184.9,1974-05-17,Delta 2914,-,590/D102,SMS 1,SMS A,-,-,CC,LC17B,-,-,35867.0, ,    -, ,-,0.627,GSFC,OS75,S1P*,G,Sat GTO OO 2,TR-1022,-,S1 LOX pressure lost,GTO,Thor,Delta 1,US,United States,Canaveral,,285.0,1977-01-26,35705.0,2.29,GEO/S,Observation,C,Government,1974
1974-075,2442331.45,1974-10-10,Delta 2914,C,589/D103,Westar 2,Westar 2,-,-,CC,LC17B,-,-,35801.0, ,    -, ,-,0.572,GSFC,OS,-,G/C,Sat GTO OO,TR-1022,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,282.0,1977-01-31,35771.0,0.05,GEO/S,Communications,B,Government,1974
1974-089,2442367.22,1974-11-15,Delta 2310,-,592/D104,NOAA 4,ITOS G,-,-,V,SLC2W,-,-,1460.0, ,    -, ,-,0.399,GSFC,OS,-,G,Sat SSO O,TR-1022,-,-,SSO,Thor,Delta 1,US,United States,Vandenberg,,399.0,1974-12-15,1445.0,101.74,LEO/S,Observation,C,Government,1974
1974-094,2442374.52,1974-11-23,Delta 2313,-,591/D105,Skynet 2B,Skynet IIB,-,-,CC,LC17B,-,-,35782.0, ,    -, ,-,0.436,GSFC,OS,-,G/OG,Sat GTO OO,TR-1022,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,221.0,1977-03-01,35757.0,0.82,GEO/D,Communications,D,Military,1974
1974-101,2442400.61,1974-12-19,Delta 2914,-,599/D106,Symphonie 1,Symphonie MV1,-,-,CC,LC17B,-,-,35795.0, ,    -, ,-,0.4,GSFC,OS,-,G/OG,Sat GTO OO 2,TR-1022,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,400.0,1977-11-10,35781.0,0.15,GEO/S,Communications,C,Government,1974
1975-004,2442435.25,1975-01-22,Delta 2910,-,598/D107,Landsat 2,Landsat B,-,-,V,SLC2W,-,-,917.0, ,    -, ,-,0.953,GSFC,OS,-,G,Sat SSO L,TR-1022,-,-,SSO,Thor,Delta 1,US,United States,Vandenberg,,953.0,1975-02-24,901.0,99.1,LEO/S,Observation,C,Government,1975
1975-011,2442450.42,1975-02-06,Delta 2914,-,593/D108,SMS 2,SMS B,-,-,CC,LC17B,-,-,35795.0, ,    -, ,-,0.628,GSFC,OS,-,G,Sat GTO OO 2,TR-1022,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,309.0,1977-01-24,35773.0,0.52,GEO/S,Observation,C,Government,1975
1975-027,2442512.5,1975-04-09,Delta 1410,-,584/D109,Geos 3,Geos C,-,-,V,SLC2W,-,-,855.0, ,    -, ,-,0.34,GSFC,OS,-,G,Sat LEO O,LR750410,TR-1022,-,LEO,Thor,Delta 1,US,United States,Vandenberg,,340.0,1988-06-09,821.0,114.99,LEO/R,Science,C,Government,1975
1975-038,2442540.48,1975-05-07,Delta 2914,C,596/D110,Anik A3,Anik A3,-,-,CC,LC17B,-,-,35797.0, ,    -, ,-,0.544,GSFC,OS,-,G/C,Sat GTO BO 2,TR-1022,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,254.0,1977-01-26,35774.0,0.01,GEO/S,Communications,B,Government,1975
1975-052,2442575.84,1975-06-12,Delta 2910,-,595/D111,Nimbus 6,Nimbus F,-,-,V,SLC2W,-,-,1115.0, ,    -, ,-,0.827,GSFC,OS,-,G,Sat SSO O,TR-1022,-,-,SSO,Thor,Delta 1,US,United States,Vandenberg,,827.0,1980-01-03,1103.0,99.9,LEO/S,Observation,C,Government,1975
1975-057,2442584.99,1975-06-21,Delta 1910,-,586/D112,OSO 8,OSO I,-,-,CC,LC17B,-,-,556.0, ,    -, ,-,1.064,GSFC,OS,-,G,Sat LEO O,TR-1022,-,-,LEO,Thor,Delta 1,US,United States,Canaveral,,1064.0,1975-07-21,540.0,32.95,LLEO/I,Observation,C,Government,1975
1975-072,2442633.58,1975-08-09,Delta 2913,-,602/D113,COS-B,COS-B,-,-,V,SLC2W,-,-,96895.0, ,    -, ,-,0.278,GSFC,OS,-,G/OG,Sat HEO OO 2,TR-1022,-,-,HEO,Thor,Delta 1,US,United States,Vandenberg,,278.0,1976-01-01,2536.0,92.01,VHEO,Observation,C,Government,1975
1975-077,2442651.57,1975-08-27,Delta 2914,-,594/D114,Symphonie 2,Symphonie MV2,-,-,CC,LC17A,-,-,35826.0, ,    -, ,-,0.4,GSFC,OS,-,G/OG,Sat GTO OO 2,TR-1022,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,400.0,1977-01-21,35750.0,0.45,GEO/S,Communications,C,Government,1975
1975-082,2442664.73,1975-09-09,N-1,-,N-1(F),Kiku-1,ETS 1,-,-,TNSC,N,-,-,1102.0, ,    -, ,-,0.082,NASDA,OS,-,G,Sat LEO O,WWW-NASDA,-,-,LEO,Thor,Delta 1,J,Japan,Tanegashima,,82.0,1992-02-14,974.0,47.0,LEO/I,Tech Demo,C,Government,1975
1975-096,2442691.88,1975-10-06,Delta 2910,-,600/D115,Explorer 54,AE-D,-,-,V,SLC2W,-,-,3569.0, ,    -, ,-,0.675,GSFC,OS,-,G,Sat LEO O,TR-1022,-,-,LEO,Thor,Delta 1,US,United States,Vandenberg,,675.0,1975-11-05,135.0,90.08,LEO/P,EOSCI,C,Government,1975
1975-100,2442702.44,1975-10-16,Delta 2914,-,597/D116,GOES 1,GOES A,-,-,CC,LC17B,-,-,35817.0, ,    -, ,-,0.612,GSFC,OS,-,G,Sat GTO BO 2,CCMOPS,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,293.0,1978-03-25,35763.0,0.01,GEO/S,Observation,C,Government,1975
1975-107,2442736.59,1975-11-20,Delta 2910,-,604/D117,Explorer 55,AE-E,-,-,CC,LC17B,-,-,2819.0, ,    -, ,-,0.72,GSFC,OS,-,G,Sat LEO O,TR-1022,-,-,LEO,Thor,Delta 1,US,United States,Canaveral,,720.0,1975-12-21,142.0,19.68,LEO/E,Science,C,Government,1975
1975-117,2442759.58,1975-12-13,Delta 3914,-,607/D118,Satcom 1,RCA-A,-,-,CC,LC17A,-,-,35863.0, ,    -, ,-,0.867,GSFC,OS,-,G/C,Sat GTO OO 2,TR-1022,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,433.0,1977-01-20,35707.0,0.02,GEO/S,Communications,B,Government,1975
1976-004,2442795.48,1976-01-17,Delta 2914,-,606/D119,CTS,CTS,-,-,CC,LC17B,-,-,35813.0, ,    -, ,-,0.685,GSFC,OS,-,G/OG,Sat GTO OO 2,MOR E-610-76-01,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,336.0,1977-01-20,35759.0,0.06,GEO/S,Communications,C,Government,1976
1976-017,2442828.44,1976-02-19,Delta 2914,-,603/D120,Marisat 1,Marisat A,-,-,CC,LC17B,-,-,35829.0, ,    -, ,-,0.738,GSFC,OS,-,G/C,Sat GTO OO 2,KHR-1,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,360.0,1977-01-25,35743.0,1.8,GEO/S,Communications,B,Government,1976
1976-019,2442837.65,1976-02-29,N-1,-,N-2(F),Ume,ISS,-,-,TNSC,N,-,-,1006.0, ,    -, ,-,0.135,NASDA,OS,-,G,Sat LEO O,WWW-NASDA,-,-,LEO,Thor,Delta 1,J,Japan,Tanegashima,,135.0,1990-06-27,991.0,69.67,LEO/I,Science,C,Government,1976
1976-029,2442864.45,1976-03-26,Delta 3914,-,610/D121,Satcom 2,RCA-B,-,-,CC,LC17A,-,-,35861.0, ,    -, ,-,0.867,GSFC,OS,-,G/C,Sat GTO OO 2,KHR-1,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,433.0,1977-01-24,35711.0,0.01,GEO/S,Communications,B,Government,1976
1976-035,2442891.37,1976-04-22,Delta 2914,-,608/D122,NATO 3A,NATO 3A,-,-,CC,LC17B,-,-,35801.0, ,    -, ,-,0.67,GSFC,OS,-,G,Sat GTO OO 2,KHR-1,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,277.0,1977-01-25,35772.0,2.53,GEO/S,Communications,D,Military,1976
1976-039,2442902.83,1976-05-04,Delta 2913,-,609/D123,Lageos,Lageos,-,-,V,SLC2W,-,-,5951.0, ,    -, ,-,0.629,GSFC,OS,-,G,Sat MTO O 1,KHR-1,-,-,MEO,Thor,Delta 1,US,United States,Vandenberg,,411.0,1976-06-03,5834.0,109.89,MEO,Science,C,Government,1976
1976-053,2442939.51,1976-06-10,Delta 2914,-,601/D124,Marisat 2,Marisat B,-,-,CC,LC17A,-,-,35794.0, ,    -, ,-,0.738,GSFC,OS,-,G/C,Sat GTO OO 2,KHR-1,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,360.0,1977-02-24,35781.0,2.28,GEO/S,Communications,B,Government,1976
1976-066,2442968.48,1976-07-08,Delta 2914,C,611/D125,Palapa A1,Palapa A1,-,-,CC,LC17A,-,-,35791.0, ,    -, ,-,0.575,GSFC,OS,-,G/C,Sat GTO OO 2,KHR-1,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,282.0,1978-02-23,35779.0,0.03,GEO/S,Communications,B,Government,1976
1976-077,2442989.21,1976-07-29,Delta 2310,-,605/D126,NOAA 5,ITOS H,-,-,V,SLC2W,-,-,1521.0, ,    -, ,-,0.34,GSFC,OS,-,G,Sat SSO O,KHR-1,-,-,SSO,Thor,Delta 1,US,United States,Vandenberg,,340.0,1991-03-28,1506.0,101.98,LEO/S,Observation,C,Government,1976
1976-101,2443066.45,1976-10-14,Delta 2914,-,614/D127,Marisat 3,Marisat C,-,-,CC,LC17A,-,-,35791.0, ,    -, ,-,0.655,GSFC,OS,-,G/C,Sat GTO OO 2,KHR-1,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,360.0,1977-01-18,35781.0,2.1,GEO/S,Communications,B,Government,1976
1977-005,2443171.53,1977-01-28,Delta 2914,-,613/D128,NATO 3B,NATO 3B,-,-,CC,LC17A,-,-,35786.0, ,    -, ,-,0.701,GSFC,OS,-,G,Sat GTO BO 2,patrick.af.mil,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,307.0,1977-04-14,35777.0,2.72,GEO/S,Communications,D,Military,1977
1977-014,2443197.87,1977-02-23,N-1,-,N-3(F),Kiku 2,ETS-2,-,-,TNSC,N,-,-,35807.0, ,    -, ,-,0.254,NASDA,OS,-,G,Sat GTO O,WWW-NASDA,-,-,GTO,Thor,Delta 1,J,Japan,Tanegashima,,120.0,1977-03-27,35768.0,0.52,GEO/S,Communications,C,Government,1977
1977-018,2443213.47,1977-03-10,Delta 2914,-,612/D129,Palapa A2,Palapa A2,-,-,CC,LC17A,-,-,35809.0, ,    -, ,-,0.575,GSFC,OS,-,G/C,Sat GTO OO 2,KHR-1,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,282.0,1979-12-26,35751.0,2.73,GEO/S,Communications,B,Government,1977
1977-029,2443253.93,1977-04-20,Delta 2914,-,617/D130,Geos 1,Geos 1,-,-,CC,LC17B,-,-,38294.0, ,    -, ,-,0.573,GSFC,OF70,S3G,G/OG,Sat GTO OO 2,MOR M-492-302-77-01,-,S3 spin table failed,GTO,Thor,Delta 1,US,United States,Canaveral,,267.0,1977-05-22,2083.0,26.47,GTO,Science,C,Government,1977
1977-048,2443310.95,1977-06-16,Delta 2914,-,616/D131,GOES 2,GOES B,-,-,CC,LC17B,-,-,36318.0, ,    -, ,-,0.624,GSFC,OS,-,G,Sat GTO BO 2,CCMOPS,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,294.0,1977-07-17,35258.0,0.82,GEO/I,Observation,C,Government,1977
1977-065,2443338.94,1977-07-14,Delta 2914,-,618/D132,GMS,GMS,-,-,CC,LC17B,-,-,35803.0, ,    -, ,-,0.664,GSFC,OS,-,G/OG,Sat GTO OO 2,CCMOPS,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,280.0,1977-08-28,35770.0,1.11,GEO/S,Observation,C,Government,1977
1977-080,2443381.49,1977-08-25,Delta 2313,-,615/D133,Sirio,Sirio 1,-,-,CC,LC17B,-,-,36023.0, ,    -, ,-,0.398,GSFC,OS,-,G/OG,Sat GTO BO 2,CCMOPS,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,198.0,1979-10-23,35612.0,1.33,GEO/D,Communications,C,Government,1977
1977-F04,2443400.48,1977-09-13,Delta 3914,-,619/D134,OTS 1,OTS 1,-,-,CC,LC17A,-,-,,?,    -, ,-,0.838,GSFC,OF,S0P,G/OG,Sat GTO OO 2,CCMOPS,-,"SRM failed, exploded",GTO,Thor,Delta 1,US,United States,Canaveral,,,,,,,,,Government,1977
1977-102,2443439.08,1977-10-22,Delta 2914,-,623/D135,ISEE 1/2,ISEE A,-,-,CC,LC17B,-,-,137531.0, ,    -, ,-,0.505,GSFC,OS,-,G,Sat HEO OO,CCMOPS,-,-,HEO,Thor,Delta 1,US,United States,Canaveral,,505.0,1977-11-29,764.0,30.38,VHEO,Science,C,Government,1977
1977-108,2443470.57,1977-11-23,Delta 2914,-,620/D136,Meteosat 1,Meteosat 1,-,-,CC,LC17A,-,-,35803.0, ,    -, ,-,0.699,GSFC,OS,-,G/OG,Sat GTO OO 1,CCMOPS,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,348.0,1978-02-20,35776.0,0.22,GEO/S,Observation,C,Government,1977
1977-118,2443492.53,1977-12-15,Delta 2914,-,624/D137,CS,CS,-,-,CC,LC17B,-,-,35789.0, ,    -, ,-,0.677,GSFC,OS,-,G/OG,Sat GTO BO,KHR-1,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,314.0,1978-02-02,35782.0,0.08,GEO/S,Communications,C,Government,1977
1978-012,2443535.23,1978-01-26,Delta 2914,-,628/D138,IUE,IUE,-,-,CC,LC17A,-,-,45892.0, ,    -, ,-,0.673,GSFC,OS,-,G,Sat GTO OO 1,KHR-1,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,434.0,1978-03-03,25687.0,28.59,GEO/T,Observation,C,Government,1978
1978-018,2443555.67,1978-02-16,N-1,-,N-4(F),Ume 2,ISS-b,-,-,TNSC,N,-,-,1220.0, ,    -, ,-,0.141,NASDA,OS,-,G,Sat LEO O,WWW-NASDA,-,-,LEO,Thor,Delta 1,J,Japan,Tanegashima,,141.0,1990-06-27,974.0,69.36,LEO/I,Science,C,Government,1978
1978-026,2443573.25,1978-03-05,Delta 2910,-,621/D139,Landsat 3,Landsat C,-,-,V,SLC2W,-,-,919.0, ,    -, ,-,0.927,GSFC,OS,-,G,Sat SSO L,KHR-1,-,-,SSO,Thor,Delta 1,US,United States,Vandenberg,,927.0,1990-05-15,898.0,98.76,LEO/S,Observation,C,Government,1978
1978-039,2443606.42,1978-04-07,Delta 2914,-,626/D140,BSE,BSE,-,-,CC,LC17B,-,-,35807.0, ,    -, ,-,0.678,GSFC,OS,-,G/OG,Sat GTO BO,KHR-1,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,334.0,1978-05-07,35766.0,0.04,GEO/S,Communications,C,Government,1978
1978-044,2443640.46,1978-05-11,Delta 3914,-,627/D141,OTS 2,OTS 2,-,-,CC,LC17A,-,-,35794.0, ,    -, ,-,0.865,GSFC,OS,-,G/OG,Sat GTO BO,MOR M-492-210-78-2,"JBIS32,186",-,GTO,Thor,Delta 1,US,United States,Canaveral,,431.0,1978-07-19,35777.0,0.06,GEO/S,Communications,C,Government,1978
1978-062,2443675.95,1978-06-16,Delta 2914,-,625/D142,GOES 3,GOES C,-,-,CC,LC17B,-,-,35807.0, ,    -, ,-,0.628,GSFC,OS,-,G,Sat GTO BO,KHR-1,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,293.0,1978-07-30,35767.0,0.96,GEO/S,Observation,C,Government,1978
1978-071,2443703.95,1978-07-14,Delta 2914,-,631/D143,Geos 2,Geos 2,-,-,CC,LC17A,-,-,35801.0, ,    -, ,-,0.575,GSFC,OS,-,G/OG,Sat GTO BO,MOR M-492-302-78-02,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,270.0,1978-09-03,35768.0,0.69,GEO/S,Science,C,Government,1978
1978-079,2443733.13,1978-08-12,Delta 2914,-,633/D144,ISEE 3,ISEE C,-,-,CC,LC17B,-,-,1151164.0, ,    -, ,-,0.479,GSFC,DS,-,G,Sat EEO OE,KHR-1,-,-,BEO,Thor,Delta 1,US,United States,Canaveral,,479.0,1978-08-12,180.0,28.9,CLO,Other,C,Government,1978
1978-098,2443805.84,1978-10-24,Delta 2910,-,630/D145,Nimbus 7,Nimbus G,-,-,V,SLC2W,-,-,961.0, ,    -, ,-,1.921,GSFC,OS,-,G,Sat SSO O,SP-4023,-,-,SSO,Thor,Delta 1,US,United States,Vandenberg,,1076.0,1980-01-02,948.0,99.29,LEO/S,Observation,C,Government,1978
1978-106,2443831.53,1978-11-19,Delta 2914,-,634/D146,NATO 3C,NATO 3C,-,-,CC,LC17B,-,-,35813.0, ,    -, ,-,0.706,GSFC,OS,-,G,Sat GTO OO,KHR-1,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,307.0,1978-12-19,35459.0,4.36,GEO/ID,Communications,D,Military,1978
1978-116,2443858.51,1978-12-16,Delta 3914,-,632/D147,Anik B,Anik B,-,-,CC,LC17A,-,-,35790.0, ,    -, ,-,0.922,GSFC,OS,-,G/C,Sat GTO OO,KHR-1,-,-,GTO,Thor,Delta 1,US,United States,Canaveral,,488.0,1979-01-31,35781.0,0.03,GEO/S,Communications,B,Government,1978
